[(1,'https://s-media-cache-ak0.pinimg.com/736x/7e/f2/6e/7ef26ecdbb37c83ace1ec3b2472688e6.jpg','https://www.pinterest.com/pin/189714203028631549','189714203028631549','faux floor tile'),
(24,'http://www.reddingtile.com/media/faux-marble-tile-redding-ca.jpg','http://www.reddingtile.com/portfolio/faux-marble-custom-tile-bathroom-floor-and-shower','faux marble custom tile bathroom floor and shower','faux floor tile'),
(25,'http://www.chrislovesjulia.com/wp-content/uploads/2014/01/picks.jpg','http://www.chrislovesjulia.com/2014/01/our-flooring-solid-wood-vs-faux-wood-tile.html','our flooring solid wood vs faux wood tile.html','faux floor tile'),
(26,'http://3.bp.blogspot.com/-W_VSQklq3l4/U15tvQkrHSI/AAAAAAAAEQI/N5wqILCcno4/s1600/new%252Bkitchen%252Bfloor.jpg','http://www.restorationbeauty.com/2014/04/faux-wood-tile-flooring-in-kitchen.html','faux wood tile flooring in kitchen.html','faux floor tile'),
(27,'http://omahamagazine.com/wp-content/uploads/2013/10/new_wood_ceramic_tiles10x6_481-960x640.jpg','http://omahamagazine.com/2013/10/tile-trends-faux-wood-is-for-real','tile trends faux wood is for real','faux floor tile'),
(28,'http://3.bp.blogspot.com/-jSZ67mKmW0E/T9gck8B0ECI/AAAAAAAAAEI/IVF-xrf9G1M/s1600/DSCN1601.JPG','http://simplystonehaven.blogspot.com/2012/06/hand-painted-faux-slate-tile-floor-on.html','hand painted faux slate tile floor on.html','faux floor tile'),
(29,'http://tovtov.com/wp-content/uploads/inspiration-flooring-outstanding-gloss-brown-laminate-wooden-floors-ideas-with-porcelain-wood-tile-as-rustic-floor-designs-best-29-porcelain-wood-tile-pictures-styles-and-design-ideas.jpg','http://tovtov.com/29-porcelain-wood-tile-pictures-styles-design-ideas/enjoyable-brown-solid-fake-woods-flooring-decors-with-porcelain-wood-tile-and-white-rectangle-tubs-feat-bathroom-tile-in-contemporary-bathroom-designs','enjoyable brown solid fake woods flooring decors with porcelain wood tile and white rectangle tubs feat bathroom tile in contemporary bathroom designs','faux floor tile'),
(30,'http://www.styleflip.com/blog/wp-content/uploads/2014/04/custom_floor_tile_decal.jpg','http://www.styleflip.com/blog/styleflip-now-offers-custom-tile-decals','styleflip now offers custom tile decals','faux floor tile'),
(31,'http://2.bp.blogspot.com/-3madYejRxC4/UG5E7MYeTrI/AAAAAAAACLQ/3rViKqN1ifM/s640/new%252Bfloor%252Binstall%252BSam%2527s%252Bphone%252B075.jpg','http://thaddeusozark.blogspot.com/2012/10/getting-new-floorpart-3.html','getting new floorpart 3.html','faux floor tile'),
(32,'http://payload193.cargocollective.com/1/12/387144/6170538/Faux%252520tile%252520on%252520concrete%252520floor_905.jpeg','http://annehyvarinen.com/RESIDENTIAL-AND-COMMERCIAL','RESIDENTIAL AND COMMERCIAL','faux floor tile'),
(33,'http://www.seefilmla.com/wp-content/uploads/2014/05/slate-patio-stone-tiles.jpg','http://www.seefilmla.com/replace-patio-stones-tiles','replace patio stones tiles','faux floor tile'),
(34,'http://versehead.com/wp-content/uploads/furniture-unique-white-faux-sheepskin-rug-with-teak-wood-tile-floor-also-transparent-glass-cocktail-table-and-white-painted-ash-wood-vanity-magnificent-faux-sheepskin-rug.jpg','http://versehead.com/magnificent-faux-sheepskin-rug/unique-white-faux-sheepskin-rug-with-teak-wood-tile-floor-also-transparent-glass-cocktail-table-and-white-painted-ash-wood-vanity','unique white faux sheepskin rug with teak wood tile floor also transparent glass cocktail table and white painted ash wood vanity','faux floor tile'),
(35,'http://i224.photobucket.com/albums/dd246/jkomenda/Album%2525208/aDSC_0516.jpg','http://littlegreennotebook.blogspot.com/2013/07/on-painting-floors.html','on painting floors.html','faux floor tile'),
(36,'http://www.fundsmatch.com/wp-content/uploads/2014/08/ceramic-tile-flooring-5.jpg','http://www.fundsmatch.com/best-ceramic-tile-flooring-2014','best ceramic tile flooring 2014','faux floor tile'),
(37,'http://www.doxohealth.com/wp-content/uploads/2014/10/best-wood-looking-ceramic-floor-tile-10.jpg','http://www.doxohealth.com/best-wood-looking-ceramic-floor-tile-design','best wood looking ceramic floor tile design','faux floor tile'),
(38,'http://i.ytimg.com/vi/LoSoEdj8FR8/maxresdefault.jpg','http://www.youtube.com/watch?v%3DLoSoEdj8FR8','watch?v%3DLoSoEdj8FR8','faux floor tile'),
(39,'http://dehouss.com/wp-content/uploads/2014/10/amazing-faux-hardwood-flooring-on-floor-with-faux-hardwood-concrete-flooring-gallery.jpg','http://dehouss.com/faux-hardwood-flooring/trendy-faux-hardwood-flooring-on-floor-with-faux-marble-tile-floor-photo','trendy faux hardwood flooring on floor with faux marble tile floor photo','faux floor tile'),
(40,'http://www.blogfogg.com/wp-content/uploads/2015/01/ceramic-floor-tile-colors-best-ceramic-flooring-ideas-floor-photo-ceramic-tile-flooring-ideas.jpg','http://www.blogfogg.com/ceramic-tile-flooring-ideas/faux-wood-ceramic-tile-flooring-ceramic-tile-flooring-trends','faux wood ceramic tile flooring ceramic tile flooring trends','faux floor tile'),
(41,'http://cdn.instructables.com/F6T/W48J/GICYB6GE/F6TW48JGICYB6GE.LARGE.jpg','http://www.instructables.com/id/Faux-Marble-Flooring','Faux Marble Flooring','faux floor tile'),
(42,'http://img.frbiz.com/nimg/92/fc/667147a1aba4b75c7cbed7228042-0x0-0/60x60_spanish_design_strong_style_color_b82220_faux_strong_modular_floor_tiles.jpg','http://www.frbiz.com/image-faux-tile-floors','image faux tile floors','faux floor tile'),
(43,'http://feelthehome.com/wp-content/uploads/2012/04/Hardwood-ceramic-tile-for-home-ideas.jpg','http://feelthehome.com/tag/faux-wood-ceramic-tile','faux wood ceramic tile','faux floor tile'),
